id,word,trump_count,trump_frequency,obama_count,obama_frequency
194,i,3756,0.008556529821,611,0.005787903188
210,we,3107,0.007078045302,1054,0.00998436982
15,you,2931,0.006677100348,1209,0.0114526595
208,it,3036,0.006916300463,541,0.005124804623
62,they,2827,0.006440178329,217,0.002055605551
425,he,2037,0.004640482227,129,0.001221995927
1604,she,430,0.0009795814226,32,0.0003031307725
